,NSEG,KB,KBAVG,F,meandepth,coverage
102,264,2124370.0,8046.84,0.4312,0.13543166666666667,7.351896153846153
100,566,1764250.0,3117.05,-0.09109,0.18758907692307691,9.754685897435897
104,290,2092890.0,7216.86,0.3327,0.15049315384615386,7.733582051282052
106,441,1708640.0,3874.47,-0.01134,0.2621162564102564,12.74999282051282
108,446,1076670.0,2414.07,-0.4331,0.3537139487179486,17.620146153846154
105,442,1986050.0,4493.33,0.1881,0.18459023076923076,9.727950769230771
110,459,1119030.0,2437.96,-0.4059,0.3296000256410256,16.178292307692306
121,566,1861890.0,3289.55,-0.04325,0.18173607692307694,9.547754615384614
113,591,1339840.0,2267.08,-0.2934,0.263660641025641,13.326270769230769
117,469,1033510.0,2203.65,-0.4408,0.33308974358974364,16.362423076923072
123,334,2076220.0,6216.23,0.2765,0.14265090769230768,7.53495794871795
112,602,1336680.0,2220.4,-0.2931,0.24686589743589743,12.93585128205128
111,580,1546820.0,2666.94,-0.2149,0.25559958974358976,13.03670769230769
115,267,414341.0,1551.84,-0.7501,0.3879091794871795,19.4161358974359
122,581,1737010.0,2989.69,-0.08507,0.22612848717948722,11.500248717948715
116,393,683146.0,1738.28,-0.6257,0.3613003076923077,18.114920512820518
119,359,1083650.0,3018.54,-0.3806,0.372796282051282,18.517297435897433
114,551,1826220.0,3314.38,0.01056,0.18802953846153847,9.737927948717948
14,347,737722.0,2126.0,-0.6023,0.3912324102564102,19.427515384615386
15,568,1252710.0,2205.48,-0.3587,0.2953201794871795,15.089535897435894
16,443,1970310.0,4447.64,0.09361,0.1719676948717949,9.07006153846154
20,563,1788560.0,3176.84,-0.06905,0.20353574358974358,10.346499230769231
23,297,2094430.0,7051.97,0.317,0.12507164102564103,6.712683846153846
25,578,1211430.0,2095.91,-0.4023,0.2943460256410256,14.693206410256412
19,624,1534060.0,2458.43,-0.2306,0.2245377179487179,11.794801282051282
18,266,1543060.0,5800.96,-0.01295,0.34742048717948715,17.256920512820507
17,392,1947790.0,4968.85,0.2506,0.2277878205128205,11.886033333333334
27,503,1564470.0,3110.29,-0.0761,0.2810882564102564,14.373228205128207
22,488,1872660.0,3837.42,0.0328,0.18060399487179488,9.357896923076922
124,390,1260700.0,3232.57,-0.2721,0.34000569230769234,16.647779487179484
35,414,1955120.0,4722.51,0.1862,0.19086820512820518,9.93615717948718
30,225,544340.0,2419.29,-0.8786,0.5213864358974359,24.900115384615386
2,552,1834990.0,3324.25,-0.01558,0.19709253846153843,10.302761538461539
28,354,1977850.0,5587.14,0.2298,0.18882284615384615,9.493036923076923
29,132,1725630.0,13073.0,0.381,0.09207234871794871,4.621345128205128
34,624,1670990.0,2677.87,-0.1703,0.21384258974358977,11.262443589743592
38,442,1116200.0,2525.34,-0.4038,0.3528313076923077,17.589979487179487
37,508,1817380.0,3577.53,0.04292,0.2175105641025641,11.39374358974359
36,588,1147690.0,1951.86,-0.413,0.2942180769230769,16.167446153846157
32,527,1742380.0,3306.23,0.0005366,0.23233812820512822,12.202828205128204
47,510,1152910.0,2260.6,-0.3482,0.33038276923076926,16.80580282051282
43,626,1680420.0,2684.38,-0.1776,0.2110251282051282,10.821376923076924
40,601,1580930.0,2630.49,-0.2081,0.22477866666666665,11.64660769230769
41,223,2101440.0,9423.52,0.2982,0.10525041282051283,5.526323333333334
42,631,1379630.0,2186.42,-0.3441,0.23870379487179483,12.078298974358974
44,594,1648490.0,2775.24,-0.1944,0.193176,10.23239717948718
45,426,1994150.0,4681.1,0.1748,0.167597358974359,8.81763948717949
49,611,1747000.0,2859.25,-0.1293,0.1978797692307692,10.277638205128204
3,236,2019500.0,8557.19,0.4024,0.13156446153846155,6.976694871794871
46,348,2060230.0,5920.19,0.2561,0.1478367538461538,7.72013794871795
56,542,1711830.0,3158.37,-0.04435,0.2186558461538462,11.30993076923077
57,529,1900830.0,3593.25,-0.004431,0.16869920512820516,8.964691282051284
52,547,1873760.0,3425.52,-0.02209,0.18122102564102566,9.54042948717949
59,631,1352140.0,2142.84,-0.3329,0.24974643589743592,12.790170000000002
50,513,1929070.0,3760.36,0.06783,0.16569852307692307,8.876519230769231
51,579,1312150.0,2266.24,-0.3302,0.2805663076923076,14.202097435897436
54,431,1986720.0,4609.56,0.1312,0.17816589743589745,9.073887179487176
55,552,967943.0,1753.52,-0.5251,0.31609223076923076,15.902915384615385
69,500,1927360.0,3854.71,0.005544,0.17967010256410257,9.270119743589744
67,168,2143780.0,12760.6,0.4756,0.09513540769230769,4.893040769230769
63,635,1587750.0,2500.4,-0.2189,0.22520284615384617,11.510310256410259
64,458,1063100.0,2321.17,-0.4204,0.3317550512820513,16.55388794871795
61,322,516081.0,1602.74,-0.7292,0.3896398974358974,19.171035897435896
6,443,1126740.0,2543.43,-0.4352,0.2611094871794871,13.325754102564101
66,166,2147840.0,12938.8,0.4922,0.1166976948717949,5.927965384615384
5,155,842664.0,5436.55,-0.7791,0.6146093846153847,27.5242717948718
65,161,2150360.0,13356.3,0.5562,0.10704733333333333,5.605521025641026
62,631,1198880.0,1899.97,-0.3719,0.2636165641025641,13.647606410256408
71,622,1690940.0,2718.56,-0.1947,0.21655500000000003,11.300187179487178
75,623,1305330.0,2095.23,-0.3354,0.26909864102564107,13.819204615384615
77,577,1762390.0,3054.4,-0.03833,0.22952769230769235,11.735851282051284
79,495,1910240.0,3859.06,0.07983,0.19604856410256408,10.080025128205131
73,323,2085050.0,6455.25,0.302,0.1439045128205128,7.714022051282051
80,620,1474500.0,2378.22,-0.2634,0.274231717948718,13.811222564102563
72,610,1258230.0,2062.68,-0.3967,0.2546468974358974,12.772237435897436
70,432,1993660.0,4614.96,0.03758,0.15757514358974356,8.134221025641024
78,612,1753210.0,2864.73,-0.1448,0.19140938461538462,9.820774615384618
87,167,2131910.0,12765.9,0.3897,0.08832824871794871,4.417979487179488
84,653,1394320.0,2135.25,-0.3181,0.2506648205128205,12.800831282051282
86,454,1037840.0,2286.0,-0.4419,0.3214057948717948,16.090773076923078
81,391,2024810.0,5178.53,0.1545,0.15043433333333334,7.878941794871794
83,455,1952150.0,4290.44,0.1433,0.19263002564102566,10.251171794871796
82,301,2097800.0,6969.45,0.3581,0.1514270923076923,7.869423333333334
91,496,1912910.0,3856.68,0.05105,0.1706760769230769,9.024545384615383
93,280,2085070.0,7446.68,0.2349,0.12313871794871795,6.4832
89,334,770376.0,2306.51,-0.6316,0.4029684358974359,19.713894871794874
8,516,1053890.0,2042.43,-0.4728,0.33017187179487184,16.296674358974357
9,631,1392000.0,2206.03,-0.3128,0.23684430769230766,12.159357948717949
97,519,1799920.0,3468.05,0.0373,0.2327453333333333,12.002135897435897
90,503,1930530.0,3838.04,0.02777,0.1725790769230769,8.898844871794873
98,539,1897260.0,3519.96,0.03014,0.18700092307692306,10.092231538461537
96,462,1878060.0,4065.06,0.1133,0.23017071794871796,11.663533333333334
92,375,1563160.0,4168.42,0.006494,0.31304907692307693,15.694860000000002
95,333,2061910.0,6191.93,0.3655,0.17415525641025642,9.206367179487179
88,588,1534660.0,2609.97,-0.1866,0.2433253333333333,12.78315205128205
99,576,1844140.0,3201.64,-0.05572,0.16743321794871796,8.90926128205128
